# Mole fraction data during the ranges in this worksheet will be excluded
# Date format must by YYYY-MM-DD HH:MM
# Make sure that the cell format is text rather than Excel's date format
Species,Instrument,Start,End,Notes,Combined_only
n2o,GCMD,2018-10-04 15:00,2019-07-05 01:59,Use G5310,Y
n2o,GCMD,2019-07-12 18:00,2019-09-10 05:59,Use G5310,Y
n2o,GCMD,2019-09-23 10:00,2022-07-27 10:59,Use G5310,Y
n2o,GCMD,2022-09-23 15:00,2023-06-20 11:59,Use G5310,Y
n2o,GCMD,2023-10-19 17:00,2024-07-08 11:59,Use G5310,Y
n2o,GCMD,2024-07-29 21:00,2024-12-31 23:59,Use G5310,Y
co,Picarro-G2401,2018-10-04 15:00,2019-07-05 01:59,Use G5310,Y
co,Picarro-G2401,2019-07-12 18:00,2019-09-10 05:59,Use G5310,Y
co,Picarro-G2401,2019-09-23 10:00,2019-12-19 22:59,Use G5310,Y
co,Picarro-G2401,2019-12-23 12:00,2020-02-04 12:59,Use G5310,Y
co,Picarro-G2401,2020-02-12 14:00,2022-07-27 10:59,Use G5310,Y
co,Picarro-G2401,2022-09-23 15:00,2023-06-20 11:59,Use G5310,Y
co,Picarro-G2401,2023-10-19 17:00,2024-01-23 23:59,Use G5310,Y
co,Picarro-G5310,2024-01-24 00:00,2024-02-26 15:59,G5310 offset high vs G2401 and other sites until nafion replaced,
co,Picarro-G2401,2024-02-26 16:00,2024-07-08 11:59,Use G5310,Y
co,Picarro-G2401,2024-07-29 21:00,2024-12-31 23:59,Use G5310,Y

