# DECC GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the general release date unless specified in the table
# x indicates that no part of the record will be processed
# General release date: 2026-01-01 00:00
Species,MHD,BSD,RGL,HFD,TAC
cfc-11,,x,x,x,x
cfc-12,,x,x,x,x
ch3ccl3,2014-07-01 00:00,x,x,x,x
ccl4,,x,x,x,x
n2o,,2021-08-11 00:00,,,
cfc-113 ,2010-12-01 00:00,x,x,x,x
ch4,,x,x,x,x
chcl3,,x,x,x,x
co,,x,x,x,
h2,,x,x,x,x
sf6,x,2021-08-11 00:00,,,
