# DECC GCMD data release schedule
# DO NOT CHANGE THE FORMAT OF THIS SPREADSHEET
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT)
# Date format YYYY-MM-DD HH:MM
# All data will be processed until the general release date unless specified in the table
# x indicates that no part of the record will be processed
# General release date: 2026-04-01 00:00
Species,MHD,TAC,RGL
hfc-23,,,x
hfc-32,,,2026-01-01 00:00
hfc-125,,,2026-01-01 00:00
hfc-134a,,,2026-01-01 00:00
hfc-143a,,,2026-01-01 00:00
hfc-152a,,,2026-01-01 00:00
hfc-227ea,,,2026-01-01 00:00
hfc-236fa,,,2026-01-01 00:00
hfc-245fa,,,x
hfc-365mfc,,,2026-01-01 00:00
hfc-4310mee,,2023-06-21 00:00,2026-01-01 00:00
hcfc-22,,,2026-01-01 00:00
hcfc-124,,,2026-01-01 00:00
hcfc-132b,,,2026-01-01 00:00
hcfc-133a,,,2026-01-01 00:00
hcfc-141b,,,2026-01-01 00:00
hcfc-142b,,,2026-01-01 00:00
cfc-11,2021-01-01 00:00,,2026-01-01 00:00
cfc-12,x,,2026-01-01 00:00
cfc-13,,,2026-01-01 00:00
cfc-113,2018-01-01 00:00,2018-01-01 00:00,x
cfc-114,2018-01-01 00:00,2018-01-01 00:00,x
cfc-115,,,2026-01-01 00:00
h-1211,,,2026-01-01 00:00
h-1301,,,2026-01-01 00:00
h-2402,,,x
ch3cl,,,2026-01-01 00:00
ch3br,,,2026-01-01 00:00
ch2cl2,,,2026-01-01 00:00
chcl3,,,2026-01-01 00:00
ch3ccl3,,,2026-01-01 00:00
ccl4,x,,x
ccl2ccl2,,,x
sf6,,,2026-01-01 00:00
so2f2,,,2026-01-01 00:00
nf3,,x,2026-01-01 00:00
cf4,,,x
c2f6,,2025-11-01 00:00,2026-01-01 00:00
c3f8,,,2026-01-01 00:00
c4f8,,,x
c6h6,,,2026-01-01 00:00
hfo-1234yf,,,2026-01-01 00:00
hfo-1234zee,,,2026-01-01 00:00
hcfo-1233zde,,,2026-01-01 00:00
clch2ch2cl,,,2026-01-01 00:00
c2h6,,,2026-01-01 00:00
ch3i,,x,2026-01-01 00:00
chbr3,,,2026-01-01 00:00
c3h8,,,2026-01-01 00:00
ch2br2,,,2026-01-01 00:00
c6f14,,,x
desflurane,,,x
